CHARGE_PARAMS,Charge_Intensity_Percent,Charge_Current_Threshold_mA
CHARGE_PARAMS,100,50
DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V
DISCHARGE_PARAMS,250,2.50
MONITOR_PARAMS,Derivative_Threshold_V_per_s,Min_Runtime_min,Max_Runtime_min
MONITOR_PARAMS,0.000100,20,40
NUM_CYCLES,Number_of_Cycles
NUM_CYCLES,2
RECORDING_INTERVAL,Interval_seconds
RECORDING_INTERVAL,10
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-08-22 18:53:48.35,C,3.476,0.487262,3.878023
2025-08-22 18:53:58.35,C,3.535,0.500095,8.796643
2025-08-22 18:54:08.35,C,3.588,0.508005,13.844388
2025-08-22 18:54:18.35,C,3.625,0.502190,18.879265
2025-08-22 18:54:28.35,C,3.665,0.504286,23.943480
2025-08-22 18:54:38.35,C,3.693,0.491243,28.899593
2025-08-22 18:54:48.35,C,3.725,0.500095,33.864998
2025-08-22 18:54:58.35,C,3.753,0.496690,38.835987
2025-08-22 18:55:08.35,C,3.777,0.502295,43.894115
2025-08-22 18:55:18.35,C,3.799,0.506538,48.926270
2025-08-22 18:55:28.35,C,3.814,0.497476,53.946095
2025-08-22 18:55:38.35,C,3.826,0.502033,58.967194
2025-08-22 18:55:48.35,C,3.838,0.497790,63.978050
2025-08-22 18:55:58.35,C,3.849,0.497790,68.940094
2025-08-22 18:56:08.35,C,3.864,0.494595,73.887787
2025-08-22 18:56:18.35,C,3.874,0.496952,78.857727
2025-08-22 18:56:28.35,C,3.885,0.495433,83.804977
2025-08-22 18:56:38.35,C,3.893,0.493810,88.764488
2025-08-22 18:56:48.35,C,3.903,0.499729,93.714584
2025-08-22 18:56:58.35,C,3.914,0.503343,98.737724
2025-08-22 18:57:08.35,C,3.922,0.499729,103.771324
2025-08-22 18:57:18.35,C,3.930,0.502505,108.774139
2025-08-22 18:57:28.35,C,3.942,0.507953,113.808105
2025-08-22 18:57:38.35,C,3.950,0.512562,118.927490
2025-08-22 18:57:48.35,C,3.958,0.507691,124.020393
2025-08-22 18:57:58.35,C,3.969,0.507848,129.097916
2025-08-22 18:58:08.35,C,3.977,0.497738,134.176361
2025-08-22 18:58:18.35,C,3.985,0.504495,139.206757
2025-08-22 18:58:28.35,C,3.995,0.508581,144.260040
2025-08-22 18:58:38.35,C,4.003,0.511881,149.352448
2025-08-22 18:58:48.35,C,4.006,0.505281,154.385330
2025-08-22 18:58:58.35,C,4.015,0.510257,159.446335
2025-08-22 18:59:08.35,C,4.022,0.502976,164.540146
2025-08-22 18:59:18.35,C,4.027,0.501405,169.571930
2025-08-22 18:59:28.35,C,4.036,0.508110,174.655396
2025-08-22 18:59:38.35,C,4.041,0.504914,179.724716
2025-08-22 18:59:48.35,C,4.045,0.502033,184.765396
2025-08-22 18:59:58.35,C,4.053,0.508267,189.863052
2025-08-22 19:00:08.35,C,4.057,0.507010,194.943832
2025-08-22 19:00:18.35,C,4.064,0.514971,200.061295
2025-08-22 19:00:28.35,C,4.065,0.498943,205.141922
2025-08-22 19:00:38.35,C,4.075,0.506381,210.186005
2025-08-22 19:00:48.35,C,4.080,0.503552,215.254013
2025-08-22 19:00:58.35,C,4.082,0.502452,220.261810
2025-08-22 19:01:08.35,C,4.089,0.513872,225.352112
2025-08-22 19:01:18.35,C,4.093,0.508005,230.454773
2025-08-22 19:01:28.35,C,4.100,0.514552,235.552216
2025-08-22 19:01:38.35,C,4.098,0.501038,240.626282
2025-08-22 19:01:48.35,C,4.102,0.507743,245.685913
2025-08-22 19:01:58.35,C,4.107,0.512510,250.728851
2025-08-22 19:02:08.35,C,4.110,0.508948,255.837067
2025-08-22 19:02:18.35,C,4.111,0.500514,260.932068
2025-08-22 19:02:28.35,C,4.116,0.507586,265.983185
2025-08-22 19:02:38.35,C,4.117,0.507534,271.034668
2025-08-22 19:02:48.35,C,4.122,0.513714,276.183868
2025-08-22 19:02:58.35,C,4.130,0.521991,281.335388
2025-08-22 19:03:08.35,C,4.137,0.537705,286.670654
2025-08-22 19:03:18.35,C,4.148,0.554938,292.151184
2025-08-22 19:03:28.35,C,4.150,0.543100,297.627899
