CHARGE_PARAMS,Charge_Intensity_Percent,Charge_Current_Threshold_mA
CHARGE_PARAMS,100,50
DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V
DISCHARGE_PARAMS,250,2.50
MONITOR_PARAMS,Derivative_Threshold_V_per_s,Min_Runtime_min,Max_Runtime_min
MONITOR_PARAMS,0.000100,1,2
NUM_CYCLES,Number_of_Cycles
NUM_CYCLES,1
RECORDING_INTERVAL,Interval_seconds
RECORDING_INTERVAL,10
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-08-20 16:25:50.80,C,0.771,-2.934161,-28.989548
2025-08-20 16:26:00.80,C,0.838,-2.931874,-58.338440
2025-08-20 16:26:10.80,C,0.829,-2.922367,-87.604965
2025-08-20 16:26:20.80,C,0.776,-2.929744,-116.867477
2025-08-20 16:26:30.80,C,0.775,-2.941953,-146.230637
2025-08-20 16:26:40.80,C,0.814,-2.940602,-175.631378
2025-08-20 16:26:50.82,R,0.688,0.000000,0.000000
2025-08-20 16:27:00.83,R,0.729,0.000000,0.000000
2025-08-20 16:27:10.84,R,0.688,0.000000,0.000000
2025-08-20 16:27:20.85,R,0.693,0.000000,0.000000
2025-08-20 16:27:30.86,R,0.723,0.000000,0.000000
2025-08-20 16:27:40.87,R,0.675,0.000000,0.000000
2025-08-20 16:27:50.88,R,0.774,0.000000,0.000000
2025-08-20 16:28:00.89,R,0.703,0.000000,0.000000
2025-08-20 16:28:10.90,R,0.664,0.000000,0.000000
2025-08-20 16:28:20.91,R,0.675,0.000000,0.000000
2025-08-20 16:28:30.92,R,0.693,0.000000,0.000000
2025-08-20 16:28:40.93,R,0.625,0.000000,0.000000
2025-08-20 16:28:56.76,R,0.683,0.000000,0.000000
2025-08-20 16:29:06.77,R,0.650,0.000000,0.000000
2025-08-20 16:29:16.78,R,0.716,0.000000,0.000000
2025-08-20 16:29:26.79,R,0.717,0.000000,0.000000
2025-08-20 16:29:36.80,R,0.667,0.000000,0.000000
2025-08-20 16:29:46.81,R,0.705,0.000000,0.000000
2025-08-20 16:29:56.82,R,0.699,0.000000,0.000000
2025-08-20 16:30:06.83,R,0.649,0.000000,0.000000
2025-08-20 16:30:16.84,R,0.703,0.000000,0.000000
2025-08-20 16:30:26.85,R,0.718,0.000000,0.000000
2025-08-20 16:30:36.86,R,0.703,0.000000,0.000000
2025-08-20 16:30:46.87,R,0.716,0.000000,0.000000
