CHARGE_PARAMS,GPIO_Control,Simulation_Mode
CHARGE_PARAMS,true,false
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-08-26 17:51:48.89,C,4.143,0.479653,3.723405
2025-08-26 17:51:58.89,C,4.147,0.386813,7.998695
2025-08-26 17:52:08.89,C,4.149,0.322419,11.539657
2025-08-26 17:52:18.89,C,4.155,0.285192,14.566354
2025-08-26 17:52:28.89,C,4.155,0.255246,17.276751
2025-08-26 17:52:38.89,C,4.156,0.237459,19.736149
2025-08-26 17:52:48.89,C,4.159,0.216144,21.991829
2025-08-26 17:52:58.89,C,4.157,0.201359,24.082039
2025-08-26 17:53:08.89,C,4.159,0.182671,25.991251
2025-08-26 17:53:18.89,C,4.160,0.173439,27.771852
2025-08-26 17:53:28.89,C,4.159,0.165784,29.469913
2025-08-26 17:53:38.89,C,4.161,0.152800,31.068533
