CHARGE_PARAMS,Charge_Intensity_Percent,Charge_Current_Threshold_mA
CHARGE_PARAMS,100,25
DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V,Has_Discharge_Chip,Discharge_Current_Threshold_mA
DISCHARGE_PARAMS,250,2.00,true,100
MONITOR_PARAMS,Derivative_Threshold_V_per_s,Min_Runtime_min,Max_Runtime_min,Derivative_Avg_Count
MONITOR_PARAMS,0.000100,20,60,10
NUM_CYCLES,Number_of_Cycles
NUM_CYCLES,5
RECORDING_INTERVAL,Interval_seconds
RECORDING_INTERVAL,10
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-09-07 19:57:29.56,D,3.651363,-0.421391,-2.900861
2025-09-07 19:57:39.56,D,3.624985,-0.421602,-6.444399
2025-09-07 19:57:49.56,D,3.604687,-0.420393,-9.979817
2025-09-07 19:57:59.56,D,3.583997,-0.418712,-13.503235
2025-09-07 19:58:09.56,D,3.563699,-0.416662,-17.016312
2025-09-07 19:58:19.56,D,3.539162,-0.414508,-20.506220
2025-09-07 19:58:29.56,D,3.514011,-0.411041,-23.976410
2025-09-07 19:58:39.56,D,3.487690,-0.407941,-27.418550
2025-09-07 19:58:49.56,D,3.460533,-0.405629,-30.836084
2025-09-07 19:58:59.56,D,3.427073,-0.402161,-34.227570
2025-09-07 19:59:09.56,D,3.392610,-0.399902,-37.596691
2025-09-07 19:59:19.56,D,3.363277,-0.398168,-40.947441
2025-09-07 19:59:29.56,D,3.335171,-0.395225,-44.278446
2025-09-07 19:59:39.56,D,3.302771,-0.393334,-47.585217
2025-09-07 19:59:49.56,D,3.277342,-0.390287,-50.875046
2025-09-07 19:59:59.56,D,3.251356,-0.385663,-54.139385
2025-09-07 20:00:09.56,D,3.228101,-0.383561,-57.368523
2025-09-07 20:00:19.56,D,3.201892,-0.379831,-60.575474
2025-09-07 20:00:29.56,D,3.180924,-0.378570,-63.761868
2025-09-07 20:00:39.56,D,3.164083,-0.377098,-66.931549
2025-09-07 20:00:49.56,D,3.145959,-0.375312,-70.090584
2025-09-07 20:00:59.56,D,3.127891,-0.373841,-73.238365
2025-09-07 20:01:09.56,D,3.113726,-0.373210,-76.377029
2025-09-07 20:01:19.56,D,3.094487,-0.370898,-79.498291
2025-09-07 20:01:29.56,D,3.080378,-0.370531,-82.611725
2025-09-07 20:01:39.56,D,3.067720,-0.368114,-85.712395
2025-09-07 20:01:49.56,D,3.053110,-0.367693,-88.805389
2025-09-07 20:01:59.56,D,3.040729,-0.366485,-91.889511
2025-09-07 20:02:09.56,D,3.029966,-0.365854,-94.963791
2025-09-07 20:02:19.56,D,3.016192,-0.364751,-98.031273
2025-09-07 20:02:29.56,D,3.001303,-0.363858,-101.092743
2025-09-07 20:02:39.56,D,2.987362,-0.361914,-104.142677
2025-09-07 20:02:49.56,D,2.977101,-0.361336,-107.178642
2025-09-07 20:02:59.56,D,2.963549,-0.359234,-110.197716
2025-09-07 20:03:09.56,D,2.954236,-0.357815,-113.204041
2025-09-07 20:03:19.56,D,2.940295,-0.354926,-116.195007
2025-09-07 20:03:29.56,D,2.929868,-0.355504,-119.182411
2025-09-07 20:03:39.56,D,2.917934,-0.353244,-122.155998
2025-09-07 20:03:49.56,D,2.905331,-0.351983,-125.119728
2025-09-07 20:03:59.56,D,2.887652,-0.351037,-128.073502
2025-09-07 20:04:09.56,D,2.876500,-0.350092,-131.018051
2025-09-07 20:04:19.56,D,2.861778,-0.349409,-133.956116
2025-09-07 20:04:29.56,D,2.850569,-0.348568,-136.886337
2025-09-07 20:04:39.56,D,2.835511,-0.347044,-139.805618
2025-09-07 20:04:49.56,D,2.823745,-0.344838,-142.711349
2025-09-07 20:04:59.56,D,2.806681,-0.343944,-145.605087
2025-09-07 20:05:09.56,D,2.792851,-0.342053,-148.486084
2025-09-07 20:05:19.56,D,2.771438,-0.341265,-151.356812
2025-09-07 20:05:29.56,D,2.751696,-0.339846,-154.219742
2025-09-07 20:05:39.56,D,2.735747,-0.336904,-157.063553
2025-09-07 20:05:49.56,D,2.714668,-0.334066,-159.889740
2025-09-07 20:05:59.56,D,2.692585,-0.329443,-162.669479
2025-09-07 20:06:09.56,D,2.665371,-0.325817,-165.417007
2025-09-07 20:06:19.56,D,2.639831,-0.323138,-168.146652
2025-09-07 20:06:29.56,D,2.612952,-0.321141,-170.854980
2025-09-07 20:06:39.56,D,2.585181,-0.318356,-173.539047
2025-09-07 20:06:49.56,D,2.544527,-0.315887,-176.200653
2025-09-07 20:06:59.56,D,2.512015,-0.311263,-178.836197
2025-09-07 20:07:09.56,D,2.477998,-0.306587,-181.435913
2025-09-07 20:07:19.56,D,2.437234,-0.304222,-184.000900
2025-09-07 20:07:29.56,D,2.397752,-0.301333,-186.541641
2025-09-07 20:07:39.56,D,2.353976,-0.296709,-189.048080
2025-09-07 20:07:49.56,D,2.313546,-0.293084,-191.529312
2025-09-07 20:07:59.57,R,0.985545,0.000000,0.000000
2025-09-07 20:08:09.57,R,2.944868,0.000000,0.000000
2025-09-07 20:08:19.57,R,3.045022,0.000000,0.000000
2025-09-07 20:08:29.57,R,3.107648,0.000000,0.000000
2025-09-07 20:08:39.57,R,3.153097,0.000000,0.000000
2025-09-07 20:08:49.57,R,3.189511,0.000000,0.000000
2025-09-07 20:08:59.57,R,3.219458,0.000000,0.000000
2025-09-07 20:09:09.57,R,3.243882,0.000000,0.000000
2025-09-07 20:09:19.57,R,3.262119,0.000000,0.000000
2025-09-07 20:09:29.57,R,3.281191,0.000000,0.000000
2025-09-07 20:09:39.57,R,3.297083,0.000000,0.000000
2025-09-07 20:09:49.57,R,3.311080,0.000000,0.000000
2025-09-07 20:09:59.57,R,3.329149,0.000000,0.000000
2025-09-07 20:10:09.57,R,3.338963,0.000000,0.000000
2025-09-07 20:10:19.57,R,3.351957,0.000000,0.000000
2025-09-07 20:10:29.57,R,3.359206,0.000000,0.000000
2025-09-07 20:10:39.57,R,3.368017,0.000000,0.000000
2025-09-07 20:10:49.57,R,3.379505,0.000000,0.000000
2025-09-07 20:10:59.57,R,3.386029,0.000000,0.000000
2025-09-07 20:11:09.57,R,3.392498,0.000000,0.000000
2025-09-07 20:11:19.57,R,3.400306,0.000000,0.000000
2025-09-07 20:11:29.57,R,3.407276,0.000000,0.000000
2025-09-07 20:11:39.57,R,3.412462,0.000000,0.000000
2025-09-07 20:11:49.57,R,3.417202,0.000000,0.000000
2025-09-07 20:11:59.57,R,3.422891,0.000000,0.000000
2025-09-07 20:12:09.57,R,3.436331,0.000000,0.000000
2025-09-07 20:12:19.57,R,3.440903,0.000000,0.000000
2025-09-07 20:12:29.57,R,3.445811,0.000000,0.000000
2025-09-07 20:12:39.57,R,3.451499,0.000000,0.000000
2025-09-07 20:12:49.57,R,3.455402,0.000000,0.000000
2025-09-07 20:12:59.57,R,3.458860,0.000000,0.000000
2025-09-07 20:13:09.57,R,3.462373,0.000000,0.000000
2025-09-07 20:13:19.57,R,3.464993,0.000000,0.000000
2025-09-07 20:13:29.57,R,3.468005,0.000000,0.000000
2025-09-07 20:13:39.57,R,3.470905,0.000000,0.000000
2025-09-07 20:13:49.57,R,3.472522,0.000000,0.000000
2025-09-07 20:13:59.57,R,3.474808,0.000000,0.000000
2025-09-07 20:14:09.57,R,3.476815,0.000000,0.000000
2025-09-07 20:14:19.57,R,3.480385,0.000000,0.000000
2025-09-07 20:14:29.57,R,3.485292,0.000000,0.000000
2025-09-07 20:14:39.57,R,3.487188,0.000000,0.000000
2025-09-07 20:14:49.57,R,3.488304,0.000000,0.000000
2025-09-07 20:14:59.57,R,3.491204,0.000000,0.000000
2025-09-07 20:15:09.57,R,3.493323,0.000000,0.000000
2025-09-07 20:15:19.57,R,3.494939,0.000000,0.000000
2025-09-07 20:15:29.57,R,3.496613,0.000000,0.000000
2025-09-07 20:15:39.58,R,3.497617,0.000000,0.000000
2025-09-07 20:15:49.58,R,3.499234,0.000000,0.000000
2025-09-07 20:15:59.58,R,3.500906,0.000000,0.000000
2025-09-07 20:16:09.58,R,3.503193,0.000000,0.000000
2025-09-07 20:16:19.58,R,3.504031,0.000000,0.000000
2025-09-07 20:16:29.58,R,3.506149,0.000000,0.000000
2025-09-07 20:16:39.58,R,3.508770,0.000000,0.000000
2025-09-07 20:16:49.58,R,3.510610,0.000000,0.000000
2025-09-07 20:16:59.58,R,3.512673,0.000000,0.000000
2025-09-07 20:17:09.58,R,3.513342,0.000000,0.000000
2025-09-07 20:17:19.58,R,3.515127,0.000000,0.000000
2025-09-07 20:17:29.58,R,3.516242,0.000000,0.000000
2025-09-07 20:17:39.58,R,3.517413,0.000000,0.000000
2025-09-07 20:17:49.58,R,3.518919,0.000000,0.000000
2025-09-07 20:17:59.58,R,3.520202,0.000000,0.000000
2025-09-07 20:18:09.58,R,3.521095,0.000000,0.000000
2025-09-07 20:18:19.58,R,3.521986,0.000000,0.000000
2025-09-07 20:18:29.58,R,3.522655,0.000000,0.000000
2025-09-07 20:18:39.58,R,3.523603,0.000000,0.000000
2025-09-07 20:18:49.58,R,3.524663,0.000000,0.000000
2025-09-07 20:18:59.58,R,3.524886,0.000000,0.000000
2025-09-07 20:19:09.58,R,3.525778,0.000000,0.000000
2025-09-07 20:19:19.58,R,3.527674,0.000000,0.000000
2025-09-07 20:19:29.58,R,3.527842,0.000000,0.000000
2025-09-07 20:19:39.58,R,3.527842,0.000000,0.000000
2025-09-07 20:19:49.58,R,3.530072,0.000000,0.000000
2025-09-07 20:19:59.58,R,3.531132,0.000000,0.000000
2025-09-07 20:20:09.58,R,3.531410,0.000000,0.000000
2025-09-07 20:20:19.58,R,3.533474,0.000000,0.000000
2025-09-07 20:20:29.58,R,3.532860,0.000000,0.000000
2025-09-07 20:20:39.58,R,3.535091,0.000000,0.000000
2025-09-07 20:20:49.58,R,3.536708,0.000000,0.000000
2025-09-07 20:20:59.58,R,3.536987,0.000000,0.000000
2025-09-07 20:21:09.58,R,3.536374,0.000000,0.000000
2025-09-07 20:21:19.58,R,3.540389,0.000000,0.000000
2025-09-07 20:21:29.58,R,3.540779,0.000000,0.000000
2025-09-07 20:21:39.58,R,3.542396,0.000000,0.000000
2025-09-07 20:21:49.58,R,3.542731,0.000000,0.000000
2025-09-07 20:21:59.58,R,3.543734,0.000000,0.000000
2025-09-07 20:22:09.58,R,3.544013,0.000000,0.000000
2025-09-07 20:22:19.58,R,3.544794,0.000000,0.000000
2025-09-07 20:22:29.58,R,3.544850,0.000000,0.000000
2025-09-07 20:22:39.58,R,3.546077,0.000000,0.000000
2025-09-07 20:22:49.58,R,3.546077,0.000000,0.000000
2025-09-07 20:22:59.58,R,3.546634,0.000000,0.000000
2025-09-07 20:23:09.58,R,3.547415,0.000000,0.000000
2025-09-07 20:23:19.58,R,3.547917,0.000000,0.000000
2025-09-07 20:23:29.60,R,3.547471,0.000000,0.000000
2025-09-07 20:23:39.60,R,3.549200,0.000000,0.000000
2025-09-07 20:23:49.60,R,3.549255,0.000000,0.000000
2025-09-07 20:23:59.60,R,3.549590,0.000000,0.000000
2025-09-07 20:24:09.60,R,3.549869,0.000000,0.000000
2025-09-07 20:24:19.60,R,3.550594,0.000000,0.000000
2025-09-07 20:24:29.62,R,3.550594,0.000000,0.000000
2025-09-07 20:24:39.62,R,3.550538,0.000000,0.000000
2025-09-07 20:24:49.62,R,3.551319,0.000000,0.000000
2025-09-07 20:24:59.62,R,3.552658,0.000000,0.000000
2025-09-07 20:25:09.62,R,3.552490,0.000000,0.000000
2025-09-07 20:25:19.62,R,3.552657,0.000000,0.000000
2025-09-07 20:25:29.62,R,3.552490,0.000000,0.000000
2025-09-07 20:25:39.62,R,3.553828,0.000000,0.000000
2025-09-07 20:25:49.62,R,3.554107,0.000000,0.000000
2025-09-07 20:25:59.62,R,3.554274,0.000000,0.000000
2025-09-07 20:26:09.62,R,3.554329,0.000000,0.000000
2025-09-07 20:26:19.62,R,3.555389,0.000000,0.000000
2025-09-07 20:26:29.62,R,3.555333,0.000000,0.000000
2025-09-07 20:26:39.62,R,3.555668,0.000000,0.000000
2025-09-07 20:26:49.62,R,3.557565,0.000000,0.000000
2025-09-07 20:26:59.62,R,3.556895,0.000000,0.000000
2025-09-07 20:27:09.62,R,3.557677,0.000000,0.000000
2025-09-07 20:27:19.62,R,3.560074,0.000000,0.000000
2025-09-07 20:27:29.62,R,3.560688,0.000000,0.000000
2025-09-07 20:27:39.62,R,3.561579,0.000000,0.000000
2025-09-07 20:27:49.62,R,3.560576,0.000000,0.000000
2025-09-07 20:27:59.62,R,3.562138,0.000000,0.000000
2025-09-07 20:28:09.62,R,3.563308,0.000000,0.000000
2025-09-07 20:28:19.62,R,3.560799,0.000000,0.000000
2025-09-07 20:28:29.62,R,3.561580,0.000000,0.000000
2025-09-07 20:28:39.62,R,3.561971,0.000000,0.000000
2025-09-07 20:28:49.62,R,3.562361,0.000000,0.000000
2025-09-07 20:28:59.62,R,3.564145,0.000000,0.000000
2025-09-07 20:29:09.62,R,3.563811,0.000000,0.000000
2025-09-07 20:29:19.62,R,3.562417,0.000000,0.000000
2025-09-07 20:29:29.62,R,3.564982,0.000000,0.000000
2025-09-07 20:29:39.62,R,3.564480,0.000000,0.000000
2025-09-07 20:29:49.62,R,3.565372,0.000000,0.000000
2025-09-07 20:29:59.62,R,3.565650,0.000000,0.000000
2025-09-07 20:30:12.62,C,3.811967,0.484172,3.014577
2025-09-07 20:30:22.62,C,3.864778,0.480337,7.085413
2025-09-07 20:30:32.62,C,3.911954,0.481545,11.107716
2025-09-07 20:30:42.62,C,3.948592,0.482701,15.186489
2025-09-07 20:30:52.62,C,3.994097,0.488901,19.238852
2025-09-07 20:31:02.62,C,4.036479,0.507028,23.357862
2025-09-07 20:31:12.62,C,4.054213,0.445816,27.412754
2025-09-07 20:31:22.62,C,4.056723,0.404045,30.963816
2025-09-07 20:31:32.62,C,4.058730,0.375883,34.232315
2025-09-07 20:31:42.62,C,4.059453,0.354025,37.276802
2025-09-07 20:31:52.62,C,4.060625,0.339524,40.183975
2025-09-07 20:32:02.62,C,4.061239,0.329909,42.989742
2025-09-07 20:32:12.62,C,4.062633,0.321554,45.726940
2025-09-07 20:32:22.62,C,4.063303,0.313831,48.397087
2025-09-07 20:32:32.62,C,4.063581,0.307683,51.007000
2025-09-07 20:32:42.62,C,4.063637,0.302902,53.572620
2025-09-07 20:32:52.62,C,4.063693,0.298593,56.096188
2025-09-07 20:33:02.62,C,4.064028,0.292026,58.572823
2025-09-07 20:33:12.62,C,4.063191,0.285721,60.998856
2025-09-07 20:33:22.62,C,4.063581,0.282936,63.385921
2025-09-07 20:33:32.62,C,4.063972,0.278365,65.742836
2025-09-07 20:33:42.62,C,4.064028,0.272585,68.061775
2025-09-07 20:33:52.62,C,4.065310,0.265124,70.316788
2025-09-07 20:34:02.62,C,4.063804,0.261656,72.528343
2025-09-07 20:34:12.62,C,4.064474,0.258084,74.713074
2025-09-07 20:34:22.62,C,4.064697,0.254721,76.869385
2025-09-07 20:34:32.62,C,4.063804,0.251095,78.991638
2025-09-07 20:34:42.62,C,4.064529,0.247943,81.088676
2025-09-07 20:34:52.62,C,4.065032,0.241270,83.146164
2025-09-07 20:35:02.62,C,4.065199,0.239063,85.165756
2025-09-07 20:35:12.62,C,4.065589,0.236594,87.160980
2025-09-07 20:35:22.62,C,4.065701,0.233284,89.133423
2025-09-07 20:35:32.62,C,4.065979,0.230972,91.081825
2025-09-07 20:35:42.62,C,4.066147,0.228292,93.009987
2025-09-07 20:35:52.62,C,4.067485,0.225297,94.917374
2025-09-07 20:36:02.62,C,4.066258,0.220516,96.791153
2025-09-07 20:36:12.62,C,4.066537,0.217101,98.626236
2025-09-07 20:36:22.62,C,4.066704,0.213475,100.430710
2025-09-07 20:36:32.62,C,4.068601,0.211111,102.214096
2025-09-07 20:36:42.62,C,4.066482,0.208011,103.977325
2025-09-07 20:36:52.62,C,4.066928,0.205909,105.715881
2025-09-07 20:37:02.62,C,4.065979,0.203177,107.435089
2025-09-07 20:37:12.62,C,4.066928,0.201338,109.131424
2025-09-07 20:37:22.62,C,4.067151,0.198816,110.810890
2025-09-07 20:37:32.62,C,4.067597,0.196452,112.469650
2025-09-07 20:37:42.62,C,4.067486,0.193667,114.110641
2025-09-07 20:37:52.62,C,4.067542,0.191565,115.729652
2025-09-07 20:38:02.62,C,4.067486,0.187887,117.328667
2025-09-07 20:38:12.62,C,4.066426,0.183579,118.891327
2025-09-07 20:38:22.62,C,4.066538,0.182108,120.429802
2025-09-07 20:38:32.62,C,4.066091,0.179796,121.952728
2025-09-07 20:38:42.62,C,4.068824,0.177852,123.456703
