CHARGE_PARAMS,Charge_Intensity_Percent,Charge_Current_Threshold_mA
CHARGE_PARAMS,100,50
DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V
DISCHARGE_PARAMS,250,2.50
MONITOR_PARAMS,Derivative_Threshold_V_per_s,Min_Runtime_min,Max_Runtime_min
MONITOR_PARAMS,10.000000,20,60
NUM_CYCLES,Number_of_Cycles
NUM_CYCLES,1
RECORDING_INTERVAL,Interval_seconds
RECORDING_INTERVAL,10
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-08-20 16:06:57.36,C,3.854,0.244056,1.966438
2025-08-20 16:07:07.36,C,3.869,0.244056,4.423378
2025-08-20 16:07:17.36,C,3.874,0.242861,6.830313
2025-08-20 16:07:27.36,C,3.879,0.245199,9.243731
2025-08-20 16:07:37.36,C,3.886,0.245615,11.726713
2025-08-20 16:07:47.36,C,3.889,0.244939,14.180877
2025-08-20 16:07:57.37,R,3.817,0.023211,0.000000
2025-08-20 16:08:07.37,R,3.811,0.022640,0.000000
2025-08-20 16:08:17.37,R,3.806,0.022796,0.000000
2025-08-20 16:08:27.37,R,3.803,0.022952,0.000000
2025-08-20 16:08:37.37,R,3.801,0.022848,0.000000
2025-08-20 16:08:47.37,R,3.796,0.022120,0.000000
2025-08-20 16:08:57.37,R,3.795,0.022484,0.000000
2025-08-20 16:09:07.37,R,3.793,0.023419,0.000000
2025-08-20 16:09:23.27,D,3.680,-0.333277,-2.572248
2025-08-20 16:09:33.27,D,3.661,-0.332602,-5.900609
2025-08-20 16:09:43.27,D,3.645,-0.332966,-9.230470
2025-08-20 16:09:53.27,D,3.630,-0.331355,-12.552867
2025-08-20 16:10:03.27,D,3.620,-0.330368,-15.858988
2025-08-20 16:10:13.27,D,3.608,-0.329693,-19.160753
2025-08-20 16:10:23.27,R,3.714,0.023263,0.000000
2025-08-20 16:10:33.27,R,3.722,0.022848,0.000000
2025-08-20 16:10:43.27,R,3.729,0.022744,0.000000
2025-08-20 16:10:53.27,R,3.734,0.022744,0.000000
2025-08-20 16:11:03.27,R,3.737,0.022952,0.000000
2025-08-20 16:11:13.27,R,3.739,0.023367,0.000000
2025-08-20 16:11:23.27,R,3.741,0.023107,0.000000
