CHARGE_PARAMS,Charge_Intensity_Percent,Charge_Current_Threshold_mA
CHARGE_PARAMS,100,20
DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V
DISCHARGE_PARAMS,250,2.50
MONITOR_PARAMS,Derivative_Threshold_V_per_s,Min_Runtime_min,Max_Runtime_min,Derivative_Avg_Count
MONITOR_PARAMS,0.000100,20,60,10
NUM_CYCLES,Number_of_Cycles
NUM_CYCLES,5
RECORDING_INTERVAL,Interval_seconds
RECORDING_INTERVAL,10
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-09-01 13:03:05.16,C,4.052930,0.554053,3.479362
2025-09-01 13:03:15.16,C,4.096372,0.556102,7.915389
2025-09-01 13:03:25.16,C,4.133122,0.554106,12.470512
2025-09-01 13:03:35.16,C,4.136411,0.502247,16.673391
2025-09-01 13:03:45.16,C,4.138754,0.460003,20.517174
2025-09-01 13:03:55.16,C,4.141040,0.433101,24.091711
2025-09-01 13:04:05.16,C,4.142266,0.409037,27.454395
2025-09-01 13:04:15.16,C,4.142935,0.388861,30.645748
2025-09-01 13:04:25.16,C,4.144942,0.372152,33.701847
2025-09-01 13:04:35.16,C,4.145166,0.358754,36.617645
2025-09-01 13:04:45.16,C,4.145556,0.349612,39.451115
2025-09-01 13:04:55.16,C,4.145556,0.339208,42.197411
2025-09-01 13:05:05.16,C,4.146449,0.332746,44.884914
2025-09-01 13:05:15.16,C,4.145947,0.326073,47.523304
2025-09-01 13:05:25.16,C,4.145891,0.319558,50.111366
2025-09-01 13:05:35.16,C,4.146338,0.312832,52.642426
2025-09-01 13:05:45.16,C,4.147062,0.308997,55.130989
2025-09-01 13:05:55.16,C,4.146783,0.304899,57.588249
2025-09-01 13:06:05.16,C,4.146616,0.300432,60.015160
2025-09-01 13:06:15.16,C,4.147787,0.296229,62.404125
2025-09-01 13:06:25.16,C,4.148178,0.292131,64.762604
2025-09-01 13:06:35.16,C,4.148623,0.287980,67.080254
2025-09-01 13:06:45.16,C,4.149516,0.285773,69.375557
2025-09-01 13:06:55.16,C,4.148791,0.281885,71.646393
2025-09-01 13:07:05.16,C,4.149181,0.279205,73.892044
2025-09-01 13:07:15.16,C,4.149405,0.275895,76.114265
2025-09-01 13:07:25.16,C,4.150464,0.272427,78.310257
2025-09-01 13:07:35.16,C,4.150296,0.265807,80.463196
2025-09-01 13:07:45.16,C,4.151133,0.264021,82.580223
2025-09-01 13:07:55.16,C,4.151468,0.262234,84.682693
2025-09-01 13:08:05.16,C,4.151690,0.258346,86.767616
2025-09-01 13:08:15.16,C,4.150074,0.256718,88.828781
2025-09-01 13:08:25.16,C,4.150743,0.254248,90.870583
2025-09-01 13:08:35.16,C,4.150798,0.251148,92.893677
2025-09-01 13:08:45.16,C,4.152472,0.250675,94.901413
2025-09-01 13:08:55.16,C,4.150687,0.247470,96.893646
