CHARGE_PARAMS,Charge_Intensity_Percent,Charge_Current_Threshold_mA
CHARGE_PARAMS,100,50
DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V
DISCHARGE_PARAMS,250,2.50
MONITOR_PARAMS,Derivative_Threshold_V_per_s,Min_Runtime_min,Max_Runtime_min
MONITOR_PARAMS,0.000100,10,20
NUM_CYCLES,Number_of_Cycles
NUM_CYCLES,2
RECORDING_INTERVAL,Interval_seconds
RECORDING_INTERVAL,10
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-08-26 17:54:46.01,C,4.156,0.263277,2.099772
2025-08-26 17:54:56.01,C,4.158,0.209089,4.426335
2025-08-26 17:55:06.01,C,4.161,0.174865,6.323817
2025-08-26 17:55:16.01,C,4.161,0.153776,7.976654
2025-08-26 17:55:26.01,C,4.160,0.140867,9.441128
2025-08-26 17:55:36.01,C,4.162,0.131560,10.800529
2025-08-26 17:55:46.01,C,4.165,0.123454,12.071502
2025-08-26 17:55:56.01,C,4.162,0.111221,13.237183
2025-08-26 17:56:06.01,C,4.162,0.106417,14.325191
2025-08-26 17:56:16.01,C,4.161,0.101689,15.361853
2025-08-26 17:56:26.01,C,4.162,0.097486,16.355734
2025-08-26 17:56:36.01,C,4.164,0.093208,17.309237
2025-08-26 17:56:46.01,C,4.163,0.089681,18.225689
2025-08-26 17:56:56.01,C,4.164,0.086829,19.112707
2025-08-26 17:57:06.01,C,4.164,0.082251,19.956558
2025-08-26 17:57:16.01,C,4.164,0.077147,20.756502
2025-08-26 17:57:26.01,C,4.164,0.073845,21.519619
2025-08-26 17:57:36.01,C,4.165,0.069867,22.242540
2025-08-26 17:57:46.01,C,4.166,0.066940,22.925117
2025-08-26 17:57:56.01,C,4.163,0.064388,23.582237
2025-08-26 17:58:06.01,C,4.164,0.061761,24.204861
2025-08-26 17:58:16.01,C,4.166,0.060410,24.820276
2025-08-26 17:58:26.01,C,4.165,0.052304,25.381243
2025-08-26 17:58:36.01,C,4.167,0.042548,25.850782
2025-08-26 17:58:46.01,C,4.165,0.036243,26.260010
2025-08-26 17:58:56.01,C,4.164,0.034742,26.616419
2025-08-26 17:59:06.01,C,4.166,0.032641,26.956749
2025-08-26 17:59:16.01,C,4.165,0.030089,27.273153
2025-08-26 17:59:26.01,C,4.165,0.027912,27.560627
2025-08-26 17:59:36.01,C,4.166,0.026787,27.836063
2025-08-26 17:59:46.01,C,4.167,0.025661,28.100098
2025-08-26 17:59:56.01,C,4.167,0.023784,28.347078
2025-08-26 18:00:06.01,C,4.166,0.021082,28.570005
