CHARGE_PARAMS,Charge_Intensity_Percent,Charge_Current_Threshold_mA
CHARGE_PARAMS,100,50
DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V
DISCHARGE_PARAMS,250,2.50
MONITOR_PARAMS,Derivative_Threshold_V_per_s,Min_Runtime_min,Max_Runtime_min
MONITOR_PARAMS,0.000100,10,20
NUM_CYCLES,Number_of_Cycles
NUM_CYCLES,2
RECORDING_INTERVAL,Interval_seconds
RECORDING_INTERVAL,10
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-08-26 19:21:09.59,C,3.604,0.443059,3.438614
2025-08-26 19:21:19.59,C,3.665,0.443217,7.868981
2025-08-26 19:21:29.59,C,3.708,0.439066,12.284583
2025-08-26 19:21:39.59,C,3.753,0.455039,16.739510
2025-08-26 19:21:49.59,C,3.786,0.450573,21.292892
2025-08-26 19:21:59.59,C,3.814,0.450415,25.792669
2025-08-26 19:22:09.59,C,3.839,0.456353,30.310270
2025-08-26 19:22:19.59,C,3.857,0.444793,34.843536
2025-08-26 19:22:29.59,C,3.882,0.451046,39.313900
2025-08-26 19:22:39.59,C,3.899,0.450941,43.823803
2025-08-26 19:22:49.59,C,3.915,0.446737,48.324345
2025-08-26 19:22:59.59,C,3.932,0.454619,52.789707
2025-08-26 19:23:09.59,C,3.946,0.461291,57.404842
2025-08-26 19:23:19.59,C,3.960,0.453725,61.980766
2025-08-26 19:23:29.59,C,3.977,0.455617,66.532402
2025-08-26 19:23:39.59,C,3.990,0.463340,71.147804
2025-08-26 19:23:49.59,C,3.999,0.449995,75.700829
2025-08-26 19:23:59.59,C,4.006,0.449732,80.191353
2025-08-26 19:24:09.59,C,4.016,0.453988,84.737030
2025-08-26 19:24:19.59,C,4.025,0.449890,89.266365
2025-08-26 19:24:29.59,C,4.033,0.458612,93.769440
2025-08-26 19:24:39.59,C,4.039,0.457876,98.392281
2025-08-26 19:24:49.59,C,4.050,0.464181,102.992638
2025-08-26 19:24:59.59,C,4.053,0.448629,107.555695
2025-08-26 19:25:09.59,C,4.060,0.457141,112.105240
2025-08-26 19:25:19.59,C,4.067,0.449312,116.640747
2025-08-26 19:25:29.59,C,4.081,0.467544,121.203560
2025-08-26 19:25:39.59,C,4.102,0.507055,126.132423
2025-08-26 19:25:49.59,C,4.104,0.491713,131.102478
2025-08-26 19:25:59.59,C,4.104,0.476213,135.938721
2025-08-26 19:26:09.59,C,4.104,0.468752,140.659805
2025-08-26 19:26:19.59,C,4.106,0.463551,145.322235
2025-08-26 19:26:29.59,C,4.106,0.456615,149.929047
2025-08-26 19:26:39.59,C,4.108,0.449312,154.450150
2025-08-26 19:26:49.59,C,4.107,0.443637,158.915253
2025-08-26 19:26:59.59,C,4.108,0.439486,163.331116
2025-08-26 19:27:09.59,C,4.110,0.434495,167.703430
2025-08-26 19:27:19.59,C,4.111,0.426771,171.997986
2025-08-26 19:27:29.59,C,4.110,0.421202,176.240005
2025-08-26 19:27:39.59,C,4.109,0.415842,180.425949
2025-08-26 19:27:49.59,C,4.110,0.412059,184.573547
2025-08-26 19:27:59.59,C,4.110,0.407908,188.677094
2025-08-26 19:28:09.59,C,4.111,0.400342,192.717651
2025-08-26 19:28:19.59,C,4.112,0.396087,196.701752
2025-08-26 19:28:29.59,C,4.111,0.391673,200.635742
2025-08-26 19:28:39.59,C,4.111,0.388363,204.532761
2025-08-26 19:28:49.59,C,4.111,0.378222,208.368179
2025-08-26 19:28:59.59,C,4.112,0.372390,212.112152
2025-08-26 19:29:09.59,C,4.112,0.367819,215.814682
2025-08-26 19:29:19.59,C,4.113,0.364614,219.479492
2025-08-26 19:29:29.59,C,4.111,0.360831,223.107254
2025-08-26 19:29:39.59,C,4.113,0.354736,226.683502
2025-08-26 19:29:49.59,C,4.113,0.349639,230.213150
2025-08-26 19:29:59.59,C,4.113,0.346855,233.691650
2025-08-26 19:30:09.59,C,4.114,0.343229,237.138199
2025-08-26 19:30:19.59,C,4.113,0.339656,240.548340
2025-08-26 19:30:29.59,C,4.114,0.335821,243.920883
