CHARGE_PARAMS,Charge_Intensity_Percent,Charge_Current_Threshold_mA
CHARGE_PARAMS,100,50
DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V
DISCHARGE_PARAMS,250,2.50
MONITOR_PARAMS,Derivative_Threshold_V_per_s,Min_Runtime_min,Max_Runtime_min
MONITOR_PARAMS,10.000000,10,20
NUM_CYCLES,Number_of_Cycles
NUM_CYCLES,5
RECORDING_INTERVAL,Interval_seconds
RECORDING_INTERVAL,10
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-08-19 16:52:05.36,C,2.820,0.217613,1.758525
2025-08-19 16:52:15.36,C,2.902,0.217976,3.933766
2025-08-19 16:52:25.36,C,2.962,0.218392,6.115330
2025-08-19 16:52:35.36,C,3.015,0.218652,8.297108
2025-08-19 16:52:45.36,C,3.056,0.218756,10.484203
2025-08-19 16:52:55.36,C,3.094,0.219015,12.676430
2025-08-19 16:53:05.36,C,3.129,0.219067,14.865309
2025-08-19 16:53:15.36,C,3.157,0.219015,17.057451
2025-08-19 16:53:25.36,C,3.178,0.219431,19.250637
2025-08-19 16:53:35.36,C,3.202,0.219171,21.442787
2025-08-19 16:53:45.36,C,3.225,0.219639,23.633915
2025-08-19 16:53:55.36,C,3.245,0.219223,25.827969
2025-08-19 16:54:05.36,C,3.263,0.219119,28.018808
2025-08-19 16:54:15.36,C,3.277,0.218652,30.206852
2025-08-19 16:54:25.36,C,3.293,0.218652,32.393555
2025-08-19 16:54:35.36,C,3.307,0.219171,34.581451
2025-08-19 16:54:45.36,C,3.324,0.219431,36.775131
2025-08-19 16:54:55.36,C,3.336,0.219691,38.965801
2025-08-19 16:55:05.36,C,3.350,0.218652,41.159657
2025-08-19 16:55:15.36,C,3.362,0.219327,43.353096
2025-08-19 16:55:25.36,C,3.372,0.219275,45.547134
2025-08-19 16:55:35.36,C,3.386,0.220210,47.744793
2025-08-19 16:55:45.36,C,3.437,0.298657,50.502571
2025-08-19 16:55:55.36,C,3.460,0.312112,53.620872
2025-08-19 16:56:05.36,C,3.476,0.317203,56.748672
2025-08-19 16:56:15.36,C,3.463,0.227120,59.369526
2025-08-19 16:56:25.36,C,3.475,0.247692,61.646477
2025-08-19 16:56:35.36,C,3.486,0.253459,64.149773
2025-08-19 16:56:45.36,C,3.494,0.245978,66.611664
2025-08-19 16:56:55.36,C,3.500,0.243017,69.067230
2025-08-19 16:57:05.36,C,3.513,0.248472,71.480583
2025-08-19 16:57:15.36,C,3.521,0.247589,73.983818
2025-08-19 16:57:25.36,C,3.527,0.250186,76.465271
2025-08-19 16:57:35.36,C,3.536,0.242705,78.968620
2025-08-19 16:57:45.36,C,3.543,0.240627,81.370415
2025-08-19 16:57:55.36,C,3.551,0.239900,83.772354
2025-08-19 16:58:05.36,C,3.559,0.239900,86.174110
2025-08-19 16:58:15.36,C,3.567,0.242809,88.578278
2025-08-19 16:58:25.36,C,3.575,0.250394,91.042213
2025-08-19 16:58:35.36,C,3.581,0.252212,93.568985
2025-08-19 16:58:45.36,C,3.588,0.246757,96.053864
