CHARGE_PARAMS,Charge_Intensity_Percent,Charge_Current_Threshold_mA
CHARGE_PARAMS,100,50
DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V
DISCHARGE_PARAMS,250,2.50
MONITOR_PARAMS,Derivative_Threshold_V_per_s,Min_Runtime_min,Max_Runtime_min
MONITOR_PARAMS,0.000100,1,2
NUM_CYCLES,Number_of_Cycles
NUM_CYCLES,2
RECORDING_INTERVAL,Interval_seconds
RECORDING_INTERVAL,10
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-07-28 19:51:51.71,C,3.270,0.194395,1.818924
2025-07-28 19:52:01.71,C,3.299,0.195330,3.767442
2025-07-28 19:52:11.71,C,3.325,0.194706,5.713512
2025-07-28 19:52:21.71,C,3.350,0.195122,7.659495
2025-07-28 19:52:31.71,C,3.368,0.193200,9.604889
2025-07-28 19:52:41.71,C,3.387,0.195122,11.550241
2025-07-28 19:52:51.71,R,3.322,-0.006657,0.000000
2025-07-28 19:53:01.71,R,3.310,-0.007020,0.000000
2025-07-28 19:53:11.71,R,3.305,-0.006137,0.000000
2025-07-28 19:53:21.71,R,3.300,-0.005514,0.000000
2025-07-28 19:53:31.71,R,3.297,-0.004994,0.000000
2025-07-28 19:53:41.71,R,3.292,-0.006241,0.000000
2025-07-28 19:53:51.71,R,3.291,-0.005721,0.000000
2025-07-28 19:54:01.71,I,3.288,-0.006345,0.000000
2025-07-28 19:54:12.61,D,3.144,-0.308077,-2.416734
2025-07-28 19:54:22.61,D,3.095,-0.304492,-5.478020
2025-07-28 19:54:32.61,D,3.057,-0.301687,-8.506111
2025-07-28 19:54:42.61,D,3.017,-0.297635,-11.500732
2025-07-28 19:54:52.61,D,2.967,-0.294830,-14.463058
2025-07-28 19:55:02.61,D,2.922,-0.291920,-17.391335
2025-07-28 19:55:12.61,R,3.039,-0.005877,0.000000
2025-07-28 19:55:22.61,R,3.051,-0.006553,0.000000
2025-07-28 19:55:32.61,R,3.063,-0.006241,0.000000
2025-07-28 19:55:42.61,R,3.069,-0.005462,0.000000
2025-07-28 19:55:52.61,R,3.073,-0.005773,0.000000
2025-07-28 19:56:02.61,R,3.077,-0.006397,0.000000
2025-07-28 19:56:12.61,R,3.082,-0.006345,0.000000
2025-07-28 19:56:22.61,R,3.086,-0.006085,0.000000
2025-07-28 19:56:32.61,R,3.088,-0.005254,0.000000
2025-07-28 19:56:42.61,R,3.090,-0.006085,0.000000
2025-07-28 19:56:52.61,I,3.091,-0.005877,0.000000
2025-07-28 19:57:11.51,C,3.093,-0.004578,-0.056632
2025-07-28 19:57:21.51,C,3.094,-0.004371,-0.108245
2025-07-28 19:57:31.51,C,3.096,-0.005618,-0.163345
2025-07-28 19:57:41.51,C,3.097,-0.005254,-0.213902
2025-07-28 19:57:51.51,C,3.097,-0.005514,-0.269617
2025-07-28 19:58:01.51,C,3.097,-0.006449,-0.328972
2025-07-28 19:58:11.53,R,3.099,-0.005929,0.000000
2025-07-28 19:58:21.53,R,3.098,-0.006293,0.000000
2025-07-28 19:58:31.53,R,3.099,-0.007280,0.000000
2025-07-28 19:58:41.53,R,3.101,-0.006241,0.000000
2025-07-28 19:58:51.53,R,3.101,-0.005981,0.000000
2025-07-28 19:59:01.53,R,3.100,-0.006501,0.000000
2025-07-28 19:59:11.53,R,3.100,-0.006345,0.000000
2025-07-28 19:59:21.53,I,3.101,-0.006345,0.000000
2025-07-28 19:59:32.43,D,2.954,-0.291764,-1.701277
2025-07-28 19:59:42.43,D,2.876,-0.284180,-4.593938
2025-07-28 19:59:52.43,D,2.784,-0.272335,-7.363491
2025-07-28 20:00:02.43,D,2.658,-0.260698,-10.036046
2025-07-28 20:00:12.43,R,2.677,-0.022450,0.000000
2025-07-28 20:00:22.43,R,2.753,-0.006137,0.000000
2025-07-28 20:00:32.43,R,2.775,-0.005981,0.000000
2025-07-28 20:00:42.43,R,2.796,-0.005618,0.000000
2025-07-28 20:00:52.43,R,2.804,-0.007020,0.000000
2025-07-28 20:01:02.43,R,2.815,-0.006189,0.000000
2025-07-28 20:01:12.43,R,2.822,-0.006657,0.000000
2025-07-28 20:01:22.43,R,2.826,-0.006657,0.000000
2025-07-28 20:01:32.43,R,2.831,-0.006968,0.000000
2025-07-28 20:01:42.43,R,2.834,-0.006864,0.000000
2025-07-28 20:01:52.43,R,2.838,-0.006864,0.000000
2025-07-28 20:02:02.43,R,2.845,-0.006708,0.000000
