CHARGE_PARAMS,Charge_Intensity_Percent,Charge_Current_Threshold_mA
CHARGE_PARAMS,100,20
DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V,Has_Discharge_Chip,Discharge_Current_Threshold_mA
DISCHARGE_PARAMS,250,2.50,true,50
MONITOR_PARAMS,Derivative_Threshold_V_per_s,Min_Runtime_min,Max_Runtime_min,Derivative_Avg_Count
MONITOR_PARAMS,0.000100,20,60,10
NUM_CYCLES,Number_of_Cycles
NUM_CYCLES,5
RECORDING_INTERVAL,Interval_seconds
RECORDING_INTERVAL,10
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-09-06 19:26:48.14,C,3.352013,0.557468,3.684816
2025-09-06 19:26:58.14,C,3.495720,0.558992,8.373217
2025-09-06 19:27:08.14,C,3.602009,0.557048,13.041203
2025-09-06 19:27:18.14,C,3.701105,0.562145,17.769794
2025-09-06 19:27:28.14,C,3.796632,0.566979,22.502539
2025-09-06 19:27:38.14,C,3.875094,0.556628,27.230047
2025-09-06 19:27:48.14,C,3.943574,0.561041,31.923483
2025-09-06 19:27:58.14,C,4.002017,0.562933,36.642250
2025-09-06 19:28:08.14,C,4.044900,0.560778,41.354012
2025-09-06 19:28:18.14,C,4.089402,0.567767,46.117481
2025-09-06 19:28:28.14,C,4.131169,0.593145,50.918938
2025-09-06 19:28:38.14,C,4.144441,0.558204,55.780731
2025-09-06 19:28:48.14,C,4.148009,0.538816,60.381039
2025-09-06 19:28:58.14,C,4.148790,0.528465,64.862709
2025-09-06 19:29:08.14,C,4.148400,0.515855,69.254547
2025-09-06 19:29:18.14,C,4.152527,0.508920,73.554344
2025-09-06 19:29:28.14,C,4.151524,0.503297,77.805527
2025-09-06 19:29:38.14,C,4.150910,0.496362,82.004196
2025-09-06 19:29:48.14,C,4.154312,0.489269,86.141121
2025-09-06 19:29:58.14,C,4.152527,0.483332,90.224228
2025-09-06 19:30:08.14,C,4.153253,0.478498,94.265121
2025-09-06 19:30:18.14,C,4.152583,0.466886,98.233589
2025-09-06 19:30:28.14,C,4.154144,0.462840,102.135498
2025-09-06 19:30:38.14,C,4.154591,0.457901,106.002487
2025-09-06 19:30:48.14,C,4.155483,0.453908,109.834244
2025-09-06 19:30:58.14,C,4.156486,0.448601,113.631546
2025-09-06 19:31:08.14,C,4.156320,0.443505,117.375908
2025-09-06 19:31:18.14,C,4.155037,0.437567,121.074730
2025-09-06 19:31:28.14,C,4.156431,0.435150,124.743805
2025-09-06 19:31:38.14,C,4.155371,0.430054,128.378265
2025-09-06 19:31:48.14,C,4.157713,0.426376,131.979248
2025-09-06 19:31:58.14,C,4.156319,0.420596,135.542770
2025-09-06 19:32:08.14,C,4.157825,0.415815,139.054626
2025-09-06 19:32:18.14,C,4.155427,0.412242,142.528946
2025-09-06 19:32:28.14,C,4.156821,0.409142,145.978928
2025-09-06 19:32:38.14,C,4.156933,0.405201,149.400055
2025-09-06 19:32:48.14,C,4.156040,0.401576,152.791107
2025-09-06 19:32:58.14,C,4.156431,0.398108,156.152191
2025-09-06 19:33:08.14,C,4.158772,0.393800,159.479630
2025-09-06 19:33:18.14,C,4.158718,0.389491,162.767593
2025-09-06 19:33:28.14,C,4.158494,0.386076,166.026505
2025-09-06 19:33:38.14,C,4.158829,0.383029,169.255402
2025-09-06 19:33:48.14,C,4.158606,0.380769,172.466064
2025-09-06 19:33:58.14,C,4.159554,0.377196,175.643021
2025-09-06 19:34:08.14,C,4.159945,0.367529,178.767883
2025-09-06 19:34:18.14,C,4.159888,0.364691,181.840775
2025-09-06 19:34:28.14,C,4.159108,0.360961,184.887360
2025-09-06 19:34:38.14,C,4.158606,0.357914,187.908569
2025-09-06 19:34:48.14,C,4.159777,0.355654,190.907822
2025-09-06 19:34:58.14,C,4.159833,0.352502,193.883621
2025-09-06 19:35:08.14,C,4.160614,0.349612,196.835495
2025-09-06 19:35:18.14,C,4.161505,0.345986,199.758224
2025-09-06 19:35:28.14,C,4.160390,0.341153,202.645691
2025-09-06 19:35:38.14,C,4.161226,0.339366,205.505554
2025-09-06 19:35:48.14,C,4.162286,0.336371,208.344162
2025-09-06 19:35:58.14,C,4.160558,0.333639,211.158752
2025-09-06 19:36:08.14,C,4.160948,0.331222,213.953003
2025-09-06 19:36:18.14,C,4.162007,0.328858,216.724930
2025-09-06 19:36:28.14,C,4.162454,0.326231,219.481873
2025-09-06 19:36:38.14,C,4.160836,0.323498,222.214127
2025-09-06 19:36:48.14,C,4.161785,0.322080,224.925751
2025-09-06 19:36:58.14,C,4.161896,0.317351,227.610519
2025-09-06 19:37:08.14,C,4.160335,0.313305,230.255814
2025-09-06 19:37:18.14,C,4.161729,0.311203,232.877594
2025-09-06 19:37:28.14,C,4.163178,0.308892,235.485550
2025-09-06 19:37:38.14,C,4.161394,0.307368,238.077667
2025-09-06 19:37:48.14,C,4.160892,0.305424,240.651886
2025-09-06 19:37:58.14,C,4.162063,0.303953,243.210007
2025-09-06 19:38:08.14,C,4.162064,0.301221,245.750290
2025-09-06 19:38:18.14,C,4.162509,0.299382,248.272263
2025-09-06 19:38:28.14,C,4.162900,0.297438,250.777191
2025-09-06 19:38:38.14,C,4.163568,0.293917,253.267029
2025-09-06 19:38:48.14,C,4.161562,0.289609,255.719879
2025-09-06 19:38:58.14,C,4.161896,0.287612,258.144745
2025-09-06 19:39:08.14,C,4.161840,0.285563,260.555298
2025-09-06 19:39:18.14,C,4.162566,0.284407,262.953552
2025-09-06 19:39:28.14,C,4.163067,0.281938,265.332977
2025-09-06 19:39:38.14,C,4.163457,0.281149,267.697693
2025-09-06 19:39:48.14,C,4.163960,0.279363,270.050964
2025-09-06 19:39:58.14,C,4.163793,0.277314,272.390411
2025-09-06 19:40:08.14,C,4.163792,0.274371,274.700775
2025-09-06 19:40:18.14,C,4.164183,0.272060,276.994049
2025-09-06 19:40:28.14,C,4.164405,0.267489,279.257996
2025-09-06 19:40:38.14,C,4.162676,0.264283,281.494019
2025-09-06 19:40:48.14,C,4.164572,0.263653,283.711823
2025-09-06 19:40:58.14,C,4.162343,0.261446,285.919769
2025-09-06 19:41:08.14,C,4.163959,0.260500,288.110870
2025-09-06 19:41:18.14,C,4.163959,0.257138,290.286896
2025-09-06 19:41:28.14,C,4.163736,0.257033,292.444489
2025-09-06 19:41:38.14,C,4.164071,0.255667,294.597015
2025-09-06 19:41:48.14,C,4.165186,0.253617,296.735535
2025-09-06 19:41:58.14,C,4.162900,0.253355,298.866669
2025-09-06 19:42:08.14,C,4.166301,0.250938,300.984863
2025-09-06 19:42:18.14,C,4.165409,0.250780,303.093414
2025-09-06 19:42:28.14,C,4.164963,0.248573,305.192535
2025-09-06 19:42:38.14,C,4.165576,0.245526,307.272705
2025-09-06 19:42:48.14,C,4.165911,0.242794,309.329651
2025-09-06 19:42:58.14,C,4.165521,0.241585,311.365784
2025-09-06 19:43:08.14,C,4.164015,0.239326,313.386078
2025-09-06 19:43:18.14,C,4.163681,0.237960,315.388947
2025-09-06 19:43:28.14,C,4.164293,0.236541,317.379578
2025-09-06 19:43:38.14,C,4.163290,0.234860,319.361359
2025-09-06 19:43:48.14,C,4.163178,0.234124,321.327454
2025-09-06 19:43:58.14,C,4.165130,0.233179,323.287018
2025-09-06 19:44:08.14,C,4.164461,0.231235,325.233368
2025-09-06 19:44:18.14,C,4.163457,0.229658,327.169983
2025-09-06 19:44:28.14,C,4.165019,0.229080,329.094818
2025-09-06 19:44:38.14,C,4.166748,0.228029,331.009888
2025-09-06 19:44:48.14,C,4.164517,0.226926,332.918427
2025-09-06 19:44:58.14,C,4.165410,0.224982,334.817566
2025-09-06 19:45:08.14,C,4.164851,0.223563,336.697174
2025-09-06 19:45:18.14,C,4.164851,0.220516,338.561981
2025-09-06 19:45:28.14,C,4.164907,0.218834,340.408997
2025-09-06 19:45:38.14,C,4.165465,0.217521,342.240570
2025-09-06 19:45:48.14,C,4.164740,0.215051,344.053864
2025-09-06 19:45:58.14,C,4.164461,0.213423,345.849823
2025-09-06 19:46:08.14,C,4.163625,0.212214,347.638947
2025-09-06 19:46:18.14,C,4.166468,0.211584,349.420563
2025-09-06 19:46:28.14,C,4.163960,0.210165,351.194336
2025-09-06 19:46:38.14,C,4.165632,0.208957,352.956482
2025-09-06 19:46:48.14,C,4.165019,0.207380,354.709351
2025-09-06 19:46:58.14,C,4.165019,0.207275,356.453522
2025-09-06 19:47:08.14,C,4.165855,0.206014,358.188629
2025-09-06 19:47:18.14,C,4.165298,0.205331,359.915985
2025-09-06 19:47:28.14,C,4.165910,0.205016,361.637024
2025-09-06 19:47:38.14,C,4.165186,0.203702,363.345123
2025-09-06 19:47:48.14,C,4.165632,0.203072,365.056213
2025-09-06 19:47:58.14,C,4.166190,0.200392,366.753357
2025-09-06 19:48:08.14,C,4.165521,0.200024,368.439697
2025-09-06 19:48:18.14,C,4.165967,0.199289,370.119720
2025-09-06 19:48:28.14,C,4.164350,0.197397,371.785126
2025-09-06 19:48:38.14,C,4.166748,0.197345,373.447510
2025-09-06 19:48:48.14,C,4.166190,0.195769,375.097595
2025-09-06 19:48:58.14,C,4.167249,0.195138,376.738647
2025-09-06 19:49:08.14,C,4.165744,0.194508,378.371033
2025-09-06 19:49:18.14,C,4.166692,0.193562,380.002991
2025-09-06 19:49:28.14,C,4.167138,0.192196,381.619995
2025-09-06 19:49:38.14,C,4.167249,0.191092,383.230774
2025-09-06 19:49:48.14,C,4.167138,0.187572,384.824707
2025-09-06 19:49:58.14,C,4.164907,0.187782,386.405304
2025-09-06 19:50:08.14,C,4.164740,0.185838,387.973236
2025-09-06 19:50:18.14,C,4.166860,0.184682,389.537079
2025-09-06 19:50:28.14,C,4.166245,0.182843,391.084625
2025-09-06 19:50:38.14,C,4.167026,0.183053,392.629608
2025-09-06 19:50:48.14,C,4.168030,0.182633,394.161682
2025-09-06 19:50:58.14,C,4.165855,0.179480,395.687927
2025-09-06 19:51:08.14,C,4.167082,0.180899,397.207306
2025-09-06 19:51:18.14,C,4.166524,0.179113,398.716003
2025-09-06 19:51:28.14,C,4.165410,0.177904,400.215912
2025-09-06 19:51:38.14,C,4.165521,0.177799,401.707581
2025-09-06 19:51:48.14,C,4.166747,0.176065,403.189728
2025-09-06 19:51:58.14,C,4.167696,0.174699,404.662445
2025-09-06 19:52:08.14,C,4.168141,0.174016,406.114594
2025-09-06 19:52:18.14,C,4.167807,0.166187,407.536957
2025-09-06 19:52:28.14,C,4.165967,0.163455,408.925690
2025-09-06 19:52:38.14,C,4.165800,0.163875,410.295441
2025-09-06 19:52:48.14,C,4.167472,0.160408,411.659454
2025-09-06 19:52:58.14,C,4.166636,0.161091,413.011719
2025-09-06 19:53:08.14,C,4.167528,0.159777,414.358887
2025-09-06 19:53:18.14,C,4.168978,0.159041,415.699188
2025-09-06 19:53:28.14,C,4.167584,0.158464,417.035492
2025-09-06 19:53:38.14,C,4.165911,0.156940,418.362885
2025-09-06 19:53:48.14,C,4.167417,0.156257,419.676056
2025-09-06 19:53:58.14,C,4.165410,0.154786,420.984955
2025-09-06 19:54:08.14,C,4.169090,0.154523,422.290771
2025-09-06 19:54:18.14,C,4.169312,0.155258,423.593536
2025-09-06 19:54:28.14,C,4.168811,0.154628,424.890686
2025-09-06 19:54:38.14,C,4.166580,0.152789,426.176208
