DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V
DISCHARGE_PARAMS,250,2.50
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-08-20 21:34:56.68,D,3.866,-0.904006,-8.097513
2025-08-20 21:35:06.68,D,3.844,-0.904941,-17.142288
2025-08-20 21:35:16.68,D,3.830,-0.903383,-26.184898
2025-08-20 21:35:26.68,D,3.818,-0.902499,-35.215126
2025-08-20 21:35:36.68,D,3.810,-0.901304,-44.236294
2025-08-20 21:35:46.68,D,3.797,-0.901616,-53.244526
2025-08-20 21:35:56.68,D,3.791,-0.900993,-62.254818
2025-08-20 21:36:06.68,D,3.784,-0.899019,-71.251480
2025-08-20 21:36:16.68,D,3.776,-0.898759,-80.241272
2025-08-20 21:36:26.68,D,3.767,-0.898499,-89.228111
