CHARGE_PARAMS,Charge_Intensity_Percent,Charge_Current_Threshold_mA
CHARGE_PARAMS,100,20
DISCHARGE_PARAMS,Discharge_Current_mA,Voltage_Threshold_V
DISCHARGE_PARAMS,250,2.50
MONITOR_PARAMS,Derivative_Threshold_V_per_s,Min_Runtime_min,Max_Runtime_min,Derivative_Avg_Count
MONITOR_PARAMS,0.000100,20,60,10
NUM_CYCLES,Number_of_Cycles
NUM_CYCLES,5
RECORDING_INTERVAL,Interval_seconds
RECORDING_INTERVAL,10
DATETIME,STATUS,VOLTAGE_V,CURRENT_A,COULOMB_COUNT_C
2025-08-30 18:57:59.90,C,3.370749,0.475623,2.921611
2025-08-30 18:58:09.90,C,3.478824,0.485344,6.685661
2025-08-30 18:58:19.90,C,3.561691,0.486237,10.476256
2025-08-30 18:58:29.90,C,3.627383,0.474940,14.227574
2025-08-30 18:58:39.90,C,3.683316,0.476937,17.936878
2025-08-30 18:58:49.90,C,3.724193,0.477620,21.651602
2025-08-30 18:58:59.90,C,3.768971,0.484608,25.402811
2025-08-30 18:59:09.90,C,3.809346,0.489389,29.208019
2025-08-30 18:59:19.90,C,3.841746,0.491333,33.036129
2025-08-30 18:59:29.90,C,3.876153,0.491544,36.868504
2025-08-30 18:59:39.90,C,3.900913,0.491071,40.690182
2025-08-30 18:59:49.90,C,3.924168,0.491911,44.532108
2025-08-30 18:59:59.90,C,3.944577,0.497323,48.350780
2025-08-30 19:00:09.90,C,3.958686,0.493593,52.224251
2025-08-30 19:00:19.90,C,3.980100,0.494486,56.081478
2025-08-30 19:00:29.90,C,3.997499,0.502052,59.964199
2025-08-30 19:00:39.90,C,4.006757,0.496010,63.854362
2025-08-30 19:00:49.90,C,4.020921,0.493172,67.719093
2025-08-30 19:00:59.90,C,4.029898,0.489495,71.552437
2025-08-30 19:01:09.90,C,4.039824,0.487498,75.360680
2025-08-30 19:01:19.90,C,4.051815,0.488444,79.167908
2025-08-30 19:01:29.90,C,4.061462,0.490283,82.983192
2025-08-30 19:01:39.90,C,4.076853,0.496062,86.838837
2025-08-30 19:01:49.90,C,4.085497,0.494539,90.700813
2025-08-30 19:01:59.90,C,4.092245,0.495222,94.560890
2025-08-30 19:02:09.90,C,4.101948,0.494328,98.418839
2025-08-30 19:02:19.90,C,4.108249,0.493856,102.275139
2025-08-30 19:02:29.90,C,4.116559,0.497954,106.112404
2025-08-30 19:02:39.90,C,4.128603,0.511089,110.080315
2025-08-30 19:02:49.90,C,4.144942,0.530005,114.244324
2025-08-30 19:02:59.90,C,4.146449,0.518393,118.325668
2025-08-30 19:03:09.90,C,4.149293,0.513611,122.352722
2025-08-30 19:03:19.90,C,4.149460,0.507516,126.338173
2025-08-30 19:03:29.90,C,4.150464,0.501737,130.274567
2025-08-30 19:03:39.90,C,4.150352,0.495800,134.164490
2025-08-30 19:03:49.90,C,4.152973,0.492595,138.021149
